127.0.0.1 - - [04/Aug/2017:11:59:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Aug/2017:11:59:51 +0530] "GET /pvs-inventory/login.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [04/Aug/2017:11:59:51 +0530] "GET /pvs-inventory/css/style1.css HTTP/1.1" 200 10083
0:0:0:0:0:0:0:1 - - [04/Aug/2017:11:59:52 +0530] "GET /pvs-inventory/account-5.jpg HTTP/1.1" 200 257496
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:04 +0530] "GET /pvs-inventory/login.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:04 +0530] "GET /pvs-inventory/css/style1.css HTTP/1.1" 200 10083
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:05 +0530] "GET /pvs-inventory/account-5.jpg HTTP/1.1" 200 257496
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:22 +0530] "POST /pvs-inventory/j_spring_security_check;jsessionid=1F87058692C87ACB35EBD8CBB6D0C438 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:22 +0530] "GET /pvs-inventory/index.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:24 +0530] "GET /pvs-inventory/loader1 HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:25 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:25 +0530] "GET /pvs-inventory/css/breadcumbs.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:25 +0530] "GET /pvs-inventory/css/style.css HTTP/1.1" 200 9003
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:25 +0530] "GET /pvs-inventory/css/printbutton.css HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:25 +0530] "GET /pvs-inventory/css/draftbutton.css HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:25 +0530] "GET /pvs-inventory/css/jquery.dataTables.css HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:00:25 +0530] "GET /pvs-inventory/js/tablefilter.js HTTP/1.1" 200 37687
